投稿日時,曜日,メディアタイプ,フォロワー数,Imp数（全体）,Imp数（ハッシュタグ）,リーチ数,いいね数,いいね率,保存数,保存率,エンゲージメント率,使用ハッシュタグ数,人気投稿掲載数,ハッシュタグ,人気投稿掲載タグ
2023/05/01 08:00,Mon,カルーセル(2),10228,3708,352,3006,87,0.85%,5,0.05%,0.00838345,30,0,#阪急三番街 #hankyusanbangai #三番街 #イロドリ三番街 #阪急三番街グルメ #阪急三番街ランチ #大阪梅田 #梅田 #梅田グルメ #梅田ランチ #梅田イベント #大阪 #大阪グルメ #大阪ランチ #大阪イベント #大阪おでかけ #関西イベント #ゴールデンウィーク #ゴールデンウィークイベント #阪急電車フェスティバル #阪急電車 #阪急電鉄 #阪急電車コラボ #神戸ベル #お子様ランチ #おいしいもの #foodstagram #お子様歓迎 #お子様連れ大歓迎 #子鉄 ,
2023/05/01 12:01,Mon,カルーセル(2),10228,3491,646,2950,72,0.70%,1,0.01%,0.00665209,29,1,#阪急三番街 #hankyusanbangai #三番街 #イロドリ三番街 #阪急三番街グルメ #阪急三番街ランチ #大阪梅田 #梅田 #梅田グルメ #梅田ランチ #梅田イベント #大阪 #大阪グルメ #大阪ランチ #大阪イベント #大阪おでかけ #関西イベント #ゴールデンウィーク #ゴールデンウィークイベント #阪急電車フェスティバル #阪急電車 #阪急電車コラボ #梅八 #お子様ランチ #おいしいもの #foodstagram #お子様歓迎 #お子様連れ大歓迎 #子鉄 ,#イロドリ三番街 
2023/05/01 15:00,Mon,カルーセル(2),10228,3224,357,2693,70,0.68%,1,0.01%,0.00646984,30,0,#阪急三番街 #hankyusanbangai #三番街 #イロドリ三番街 #阪急三番街グルメ #阪急三番街ランチ #大阪梅田 #梅田 #梅田グルメ #梅田ランチ #梅田イベント #大阪 #大阪グルメ #大阪ランチ #大阪イベント #大阪おでかけ #関西イベント #ゴールデンウィーク #ゴールデンウィークイベント #阪急電車フェスティバル #阪急電車 #阪急電鉄 #阪急電車コラボ #うを佐 #お子様ランチ #おいしいもの #foodstagram #お子様歓迎 #お子様連れ大歓迎 #子鉄 ,
2023/05/01 18:00,Mon,カルーセル(2),10228,3536,295,2963,74,0.72%,2,0.02%,0.00692546,29,0,#阪急三番街 #hankyusanbangai #三番街 #イロドリ三番街 #umedafiidhall #ウメダフードホール #阪急三番街グルメ #阪急三番街ランチ #大阪梅田 #梅田 #梅田グルメ #梅田ランチ #梅田イベント #大阪 #大阪グルメ #大阪ランチ #大阪イベント #関西イベント #ゴールデンウィーク #ゴールデンウィークイベント #阪急電車フェスティバル #阪急電車 #阪急電鉄 #阪急電車コラボ #名古屋名物みそかつ矢場とん #矢場とん #おいしいもの #foodstagram #子鉄 ,
2023/05/02 08:01,Tue,カルーセル(2),10228,4057,618,3439,84,0.82%,3,0.03%,0.00793,28,0,#阪急三番街 #hankyusanbangai #三番街 #イロドリ三番街 #阪急三番街グルメ #阪急三番街ランチ #大阪梅田 #梅田 #梅田グルメ #梅田ランチ #梅田イベント #大阪 #大阪グルメ #大阪ランチ #大阪イベント #大阪おでかけ #関西イベント #関西おでかけ #ゴールデンウィーク #ゴールデンウィークイベント #阪急電車フェスティバル #阪急電車 #阪急電鉄 #阪急電車コラボ #昔洋食みつけ亭 #おいしいもの #foodstagram #電車好き ,
2023/05/02 12:00,Tue,カルーセル(2),10228,5461,626,4487,103,1.01%,5,0.05%,0.00989283,28,1,#阪急三番街 #hankyusanbangai #三番街 #イロドリ三番街 #阪急三番街グルメ #阪急三番街ランチ #大阪梅田 #梅田 #梅田グルメ #梅田ランチ #梅田イベント #大阪 #大阪グルメ #大阪ランチ #大阪イベント #大阪おでかけ #関西イベント #関西おでかけ #ゴールデンウィーク #ゴールデンウィークイベント #阪急電車フェスティバル #阪急電車 #阪急電鉄 #阪急電車コラボ #江戸川 #おいしいもの #foodstagram #電車好き ,#イロドリ三番街 
2023/05/02 15:00,Tue,カルーセル(2),10228,3843,494,3269,84,0.82%,2,0.02%,0.00787762,28,0,#阪急三番街 #hankyusanbangai #三番街 #イロドリ三番街 #阪急三番街グルメ #阪急三番街ランチ #大阪梅田 #梅田 #梅田グルメ #梅田ランチ #梅田イベント #大阪 #大阪グルメ #大阪ランチ #大阪イベント #大阪おでかけ #関西イベント #関西おでかけ #ゴールデンウィーク #ゴールデンウィークイベント #阪急電車フェスティバル #阪急電車 #阪急電鉄 #阪急電車コラボ #おか長 #おいしいもの #foodstagram #電車好き ,
2023/05/03 12:00,Wed,カルーセル(2),10228,3649,233,3063,73,0.71%,1,0.01%,0.00676541,28,0,#阪急三番街 #hankyusanbangai #三番街 #イロドリ三番街 #umedafiidhall #ウメダフードホール #阪急三番街グルメ #阪急三番街ランチ #大阪梅田 #梅田 #梅田グルメ #梅田ランチ #梅田イベント #大阪 #大阪グルメ #大阪ランチ #大阪イベント #関西イベント #ゴールデンウィーク #ゴールデンウィークイベント #阪急電車フェスティバル #阪急電車 #阪急電鉄 #阪急電車コラボ #バラそば屋 #おいしいもの #foodstagram #電車好き ,
2023/05/03 15:00,Wed,カルーセル(2),10228,4097,370,3444,86,0.84%,4,0.04%,0.00822143,27,2,#阪急三番街 #hankyusanbangai #三番街 #イロドリ三番街 #阪急三番街グルメ #阪急三番街ランチ #大阪梅田 #梅田 #梅田グルメ #梅田ランチ #梅田イベント #大阪 #大阪グルメ #大阪ランチ #大阪イベント #大阪おでかけ #関西イベント #関西おでかけ #ゴールデンウィークイベント #阪急電車フェスティバル #阪急電車 #阪急電鉄 #阪急電車コラボ #がんこ寿司 #おいしいもの #foodstagram #電車好き ,#hankyusanbangai #イロドリ三番街 
2023/05/03 18:00,Wed,カルーセル(2),10228,4404,420,3572,95,0.93%,2,0.02%,0.00876953,29,1,#阪急三番街 #hankyusanbangai #三番街 #イロドリ三番街 #阪急三番街グルメ #阪急三番街スイーツ #阪急三番街カフェ #大阪梅田 #梅田 #梅田グルメ #梅田スイーツ #梅田カフェ #梅田イベント #大阪 #大阪グルメ #大阪スイーツ #大阪カフェ #大阪イベント #関西イベント #ゴールデンウィークイベント #阪急電車フェスティバル #阪急電車 #阪急電鉄 #阪急電車コラボ #シルクレーム #おいしいもの #スイーツ好き #foodstagram #電車好き ,#イロドリ三番街 
