アカウント,投稿日時,投稿種別,いいね数,コメント数,投稿文
,2023/06/28 12:12,フィード,2,0,".
⚫️best hit：BLACK ITEM⚫️

クールだけど女性らしくも演出できて、素材によって涼し気で軽やかにも見える夏ブラック。
着回し力も高く、着痩せ効果にもつながるブラックアイテムをご紹介！

詳しくはこちらをチェック→https://www.junonline.jp/news/221503

#ropepicnic #ロペピクニック#fashion #blackitem #ブラックアイテム#梅田#大阪#阪急三番街#umeda#umedahankyu"
,2023/06/28 10:43,フィード,25,0,"シアー感のあるレース素材を使用し、女性らしく着こなせる「旬顔ブルゾン」

完売店舗もございますが、7月上旬に再々入荷予定です！！

タンクトップやキャミソール、ワンピースの上から気軽に羽織って、 大人っぽく上品に透け感が楽しめるので、カジュアル過ぎないキレイめなブルゾンとして 夏の日除け対策、冷房対策に♪ カーディガン感覚で気軽にコーディネイトにプラスして楽しんでいただけます。

今シーズンの羽織に絶対に取り入れたい透け感のあるアイテムなので、いつものコーデの上から羽織るだけでトレンド感のあるスタイリングを叶えてくれます。 程よくコンパクトな丈感ですっきりと着こなしていただけます。

襟元、袖口、裾はスポーツテイストをプラスするシアーなラインデザインのゴム仕様なので、袖口のロールアップなどシルエットの調整のしやすさも嬉しいポイント。 

商品のお問い合わせは、リアルショップまたは
desertrose_online@spark-dr.co.jpでも受け付けております。

DESERTROSE
クリスタ長堀店
TEL:06-6282-2191
阪急三番街店
TEL:06-6359-3733
京都大丸店
TEL:075-211-8111(代表)
西宮阪急店　婦人靴売場
TEL:0798-62-1381(代表)
神戸阪急店
TEL: 078-200-7407

毎日更新しています、是非フォローお待ちしております♡

#DESERTROSE 
#fashion #instafashion #coordinate
#デザートローズ#ファッション
#ファッションコーデ
#ファッション通販
#クリスタ長堀 #京都大丸
#西宮阪急 #阪急三番街　#神戸阪急
#アラサーコーデ
#アラサー女子
#アラフォーコーデ
#アラフォーファッション
#大人コーデ
#大人カジュアル
#オトナ女子
#ファッション好きな人と繋がりたい
#お洒落さんと繋がりたい
#おしゃれさんと繋がりたい
#高身長コーデ　#低身長コーデ
#パンツコーデ　#スカートコーデ"
,2023/06/28 09:49,フィード,229,0,".
 ⁡
⁡
昔懐かしの喫茶メニューを楽しめるレトロな食器が登場 .*˚⁡
⁡
レトロな雰囲気を演出してくれるラインプレートは、くまのロゴ入り🐻⁡
⁡
喫茶店の朝食メニューで登場しそうなエッグスタンドは、ニワトリとひよこモチーフでご用意しました。⁡
⁡
レトロ喫茶といえば ˗ˏˋ スイーツ！ˎˊ˗⁡
⁡
アイスクリームをのせたクリームソーダやプリンに、お揃いのカトラリーレストを添えて…⁡
一気にカフェ気分を演出できるガラスの器を準備して、週末や夏休みにおうちカフェを楽しみませんか？⁡
⁡
⁡
※ご紹介しました商品はオンラインショップでも販売中！⁡
ぜひサイトもチェックしてみてください。⁡
⁡
⁡
▶オーバルプレート 喫茶グーグー (W23×D18.5×H2cm)⁡
550yen(税込)⁡
⁡
▶カフェプレート 喫茶グーグー (W17×D17×H2cm)⁡
330yen(税込)⁡
⁡
▶蓋付きガラス小鉢チェックカット (クリア)(W7×D7×H5.5cm)⁡
110yen(税込)⁡
⁡
▶にわとりエッグスタンド (ホワイト) (W9.5×D5.5×H6.5cm)⁡
110yen(税込)⁡
⁡
▶エッグスタンド ひよこ (イエロー) (W8×D5×H5cm)⁡
110yen(税込)⁡
⁡
▶エンボスガラスプレートふちフリル アンバー (φ15×H2cm)⁡
110yen(税込)⁡
⁡
▶パフェグラス フラワー (クリア) (φ9.5×H13cm)⁡
330yen(税込)⁡
⁡
▶カトラリーレスト レトロプリン (W3×D4×H0.5cm)⁡
110yen(税込)⁡
⁡
▶カトラリーレスト レトロクリームソーダ (W2.5×D4.5×H0.5cm)⁡
110yen(税込)⁡
⁡
▶レースペーパーラウンド 30枚 (ブラウン) (φ19cm)⁡
110yen(税込)⁡
⁡
▶ガラスペーパーナプキンスタンドフリルライン (クリア) (W12.5×D4.5×H9.5cm)⁡
330yen(税込)⁡
⁡
▶ステンレスフィルター付ガラスポット (W14.5×D11×H15.5cm)⁡
1650yen(税込)⁡
⁡
▶ガラスボウルラウンドフラワーカット (φ12.5×H5cm)⁡
110yen(税込)⁡
⁡
⁡
#kitchenkitchen⁡
#キッチンキッチン⁡
#ケーバイケーバイキッチンキッチン⁡
⁡
【店舗案内】⁡
▶︎東京都⁡
#ルミネ立川 7F⁡
#アトレ吉祥寺 B1F⁡
▶︎神奈川県⁡
#ジョイナス 1F⁡
▶︎大阪府⁡
#阪急三番街 B2F⁡
#あべのキューズモール B1F⁡
▶︎愛知県⁡
#タカシマヤゲートタワー⁡
⁡
⚠️時間短縮営業を行っている店舗がございますので、ご来店の際には各商業施設のホームページ情報をご確認くださいませ。⁡
⁡
#レトロ喫茶 #レトロカフェ #純喫茶 #ナポリタン #クリームソーダ #プリン #レトロプリン #うちカフェ #レトロ食器 #エッグスタンド #夏を楽しむ"
,2023/06/28 09:40,フィード,5,0,"昨日はこななの日…

もう当分行けないと思うと…

かなしい…

またもどりたい…

#こなな #阪急三番街 #和風パスタ"
,2023/06/28 09:13,フィード,67,0,"今週末はヨコハマハンドメイドマルシェ！「夏のファッションアイテム特集」に取り上げていただきました。
取り上げていただいたwaveringピアス/イヤリングはお色違い、形違いで全6アイテムございます。
ぜひブースに遊びに来てくださいね〜✨

そして7/1より、梅田の阪急三番街北館1Fにございます「charmtity bykaede×horai1206」さんに置かせていただきます。
お楽しみに〜🏝️

【出展情報】
・ヨコハマハンドメイドマルシェ
日時: 2023年7月1日(土)・2日(日) 11:00〜18:00
場所:パシフィコ横浜
ブース:M-95,96
入場料: 前売券1,000円/当日券1,200円

・OCEAN PEOPLES
日時: 2023年7月8日(土)・9日(日) 11:00〜20:00
場所:代々木公園イベント広場

・ハンドメイドインジャパンフェス2023
日時: 2023年7月22日(土)・23日(日) 11:00〜19:00
場所: 東京ビッグサイト西1・2ホール
ブース:P-424
入場料: 前売1,300円/当日1,500円

★委託先★
・7/1〜7/31
charmtity bykaede×horai1206
阪急三番街北館1F(大阪梅田)

・7/1〜7/31
charmtity bykaede×horai1206
ピオレ1号館2F(姫路)

・きんとと家(常設)※和柄中心
京都市東山区清水四丁目150-2

🏝〰︎〰︎〰︎〰︎〰︎〰︎〰︎〰︎〰︎〰︎
seaplus2021 
海の作家の集まり
〰︎〰︎〰︎〰︎〰︎〰︎〰︎〰︎〰︎〰︎〰

#ヨコハマハンドメイドマルシェ #阪急三番街 #海アクセサリー  #夏アクセサリー #ビーチスタイルアクセサリー #beachgirl #beachstyle #海アクセサリー #ハンドメイドアクセサリー #surfgirl  #海アート #アルコールインクアート #ハワイ #hawaii #海のアクセサリー #川崎 #波アート #波のインテリア #アートを飾る #アートを楽しむ #アートを日常に #アネラストーン #anelastone"
,2023/06/28 06:44,フィード,204,1,"おはようございます😊
2023/6/28
この度の#100ネエサンワークショップで大活躍のトレイは、
cartonnage_colors 
で作っていただきました。
本当は、刺繍を施したネエサンでセットしたかったのですが、間に合わず😂
急なオーダーにも快く応対くださり、ありがとうございました。
👯‍♀️
瀧澤氏は、キルト塾オンラインレッスン、二子玉川の2拠点で活動されています。
オーダーも受けてくださいますので、こんなの欲しいけど、自分ではとても無理！とか、作りたいけど時間が無い！という方、柔軟に対応してくださるので、チェックしてみてね☝️

私は、もう、オーダーのみです〜😆💕

こちらのトレイは、本体はスキバルです。

ネエサン部分は、刺繍前提で、そこの部分だけ残していただきましたが、やはり私がやったところは今ひとつです💦

次は、刺繍生地を準備してオーダーします〜😆

#キルト塾
#オンラインレッスン
#瀧澤直美
#カルトナージュ
#阪急三番街
#ワークショップ
kwgc_inc 
#ヌノデコ
#NUNODECO
#ヌノデコテープ
#お名前シール
lecien_cosmo_jp 
#100ネエサンジップ付きポーチ
#コスモ刺繍糸"
anna.naris_cosmetics,2023/06/28 23:42,フィード,20,1,"⁡《tea time》
⁡⁡
⁡たくさん考えて、学んだ後の⁡
⁡スイーツ最高🍰🍩🍴✨⁡
⁡⁡
⁡ ⁡

⁡⁡
⁡⁡
⁡#トップスカフェ#キングスチョコレートケーキ#チョコレートケーキ#阪急三番街#ナリス化粧品#伊丹市#伊丹市エステ#伊丹エステ#エステティシャン募集中#ナリス女子  #人生100年時代#ママでもできる #Anela会"
ssmmtttnn008,2023/06/28 23:00,リール,2,0,#ハーブス#バナナクリームパイ #クリームたっぷり#バナナ#ケーキ#ケーキ屋さん#ケーキ#阪急三番街#阪急#三番街#梅田地下街#梅田#梅田カフェ #大阪カフェ#大阪#スイーツ#梅田ケーキ#大阪ケーキ#梅田スイーツ#大阪スイーツ
desert_rose_spark,2023/06/28 22:59,フィード,11,0,"イタリアのフィレンツェで作られている希少なラフィア素材を使ったDOUBLE STANDARD CLOTHINGのフラワーコサージュ。

職人が手作りしているため、一点一点表情が異なります。

台座はメタルレースパーツに回転ピンとスカーフ留めを付けており、他にはない凝った仕上がりに。

髪飾りとしても品良く映え、パーティーにもぴったりのアイテムです。

Photo by doublestandard_official 

商品のお問い合わせは、リアルショップまたは
desertrose_online@spark-dr.co.jpでも受け付けております。

DESERTROSE
クリスタ長堀店
TEL:06-6282-2191
阪急三番街店
TEL:06-6359-3733
京都大丸店
TEL:075-211-8111(代表)
西宮阪急店　婦人靴売場
TEL:0798-62-1381(代表)
神戸阪急店
TEL: 078-200-7407

毎日更新しています、是非フォローお待ちしております♡

#DESERTROSE 
#fashion #instafashion #coordinate
#デザートローズ#ファッション
#ファッションコーデ
#ファッション通販
#クリスタ長堀 #京都大丸
#西宮阪急 #阪急三番街　#神戸阪急
#アラサーコーデ
#アラサー女子
#アラフォーコーデ
#アラフォーファッション
#大人コーデ
#大人カジュアル
#オトナ女子
#ファッション好きな人と繋がりたい
#お洒落さんと繋がりたい
#おしゃれさんと繋がりたい
#コサージュ"
desert_rose_spark,2023/06/28 22:22,フィード,7,0,"アジョリ―人気の定番デザイン『パールサングラス』がキュートなデザインのキャンバストートバッグです。 

バッグが自立するハリのある丈夫なキャンバス素材を使用し、使い込むほどに風合いが増し、経年変化も楽しみながらご使用いただけます。 カードや鍵など小物の収納にぴったりなオープンタイプのポケットがフロントに１つと内側に2つあり たっぷりとられたマチ幅によって小ぶりながらもしっかりとした容量を確保。 カジュアルなデイリーコーデに合わせてお持ちいただけます。 

商品のお問い合わせは、リアルショップまたは
desertrose_online@spark-dr.co.jpでも受け付けております。

DESERTROSE
クリスタ長堀店
TEL:06-6282-2191
阪急三番街店
TEL:06-6359-3733
京都大丸店
TEL:075-211-8111(代表)
西宮阪急店　婦人靴売場
TEL:0798-62-1381(代表) 
神戸阪急店
TEL: 078-200-7407

毎日更新しています、是非フォローお待ちしております♡

#DESERTROSE #ajolie
#デザートローズ #ファッション 
#ファッションコーデ 
#ファッション通販 
#クリスタ長堀　#京都大丸
#西宮阪急　#阪急三番街
#神戸阪急
#今日のコーデ
#アラサーコーデ
#アラサー女子
#アラフォーコーデ
#アラフォーファッション
#大人コーデ
#大人カジュアル　　
#オトナ女子
#ファッションコーデ
#ファッション好きな人と繋がりたい
#お洒落さんと繋がりたい
#おしゃれさんと繋がりたい
#アジョリー"
beerstandmolto,2023/06/28 22:09,フィード,23,0,"#repubrew ⁡さんか
CAMPai HAZY入りました✨

スタイル：Hazy IPA
アルコール：7.5%

人気Youtuber「伊豆のぬし釣り」さんとコラボでビールを作りました！

「伊豆のぬし釣り」さんはキャンプ・アウトドア系を中心に色々な動画を投稿されているYoutuberです。お酒も大好きで、『お酒マン』の異名でキャンプしながらお酒を飲む動画もアップされています！

実は、うちもお世話になっている酒屋「日家」さん主催の『肉知る（NIKUJIRU）バトル』というイベントに一出店したときに初めて会って意気投合、コラボレーションビールを作ろうと言う話になりました。
彼らはHazyIPAがとても大好きで、たくさん試飲をした中でも特にお気に入りだったウッディ・ココナッツ系のアロマを持つヘイジーIPAを作ることに決めました！

このアロマを表現するために使ったホップは「HBC472」。ウッディなアロマとトロピカルなアロマ、両方の香りがしっかり立っていて、僕たちのイメージするアロマを表現するのにピッタリです！

あとは、このアロマを活かすため、バランスの良いホップをブレンドしました。

仕上がりはまさにイメージ通り！モルトの軽いコクとオーツのなめらかな口当たり、「HBC472」ホップの特徴が十分に活きたウッディ＆ココナッツ＆トロピカル！アルコールは7%と少し高めですが、それを全く感じさせないスムーズな悪魔的飲み心地！キャンプしながら、みんなで「Campaiキャンパイ」しちゃいましょう！

ーーーーーーーーーーーーーーーーーー
⁡
【営業時間】
⁡
平日 15:00〜24:00
土日祝 12:00〜24:00
（food 23:00, drink23:30 L.o）
⁡
ーーーーーーーーーーーーーーーーーーーー
⁡
#repubrew 
#CAMPaiHAZY
#ビアスタンドモルト梅田
#贅沢コロッケ
#爽快ラガー
#コロッケとビールの相性96パーセント
#クラフトビール
#コロッケ
#ビールテイクアウト
#地ビール
#立ち飲み
#昼飲み
#阪急三番街
#ビール好きな人と繋がりたい
#1人飲み
#ビール女子
#梅田立ち飲み
#梅田立ち飲み昼飲み
#阪急立ち飲み
#梅田ビールテイクアウト
#梅田ビール
#大阪クラフトビール
#大阪立ち飲み
#梅田昼飲み
#梅田グルメ
#阪急三番街グルメ"
beerstandmolto,2023/06/28 22:03,フィード,23,0,"#uchubrewing ⁡さんから
WARP入ってます💫

スタイル：TROPICAL SOUR ALE 
アルコール：5%

【コンセプト】 
目の前の現象を完全に認識すると五次元に到達すると言われている。 
君と現象の間にある「それ」を超越できるのは君だけだ！君が宇宙だ！

【ブルワーズノート】 
うちゅうオリジナルのパイナップルピューレが美味しすぎて、シンプルに溢れんばかりのパイナップルレシピに進化しました！！！ 
MD2品種の極上パイナップルで時空ワープ体験せよ！！！ 
絶対冷蔵！！！

ーーーーーーーーーーーーーーーーーー
⁡
【営業時間】
⁡
平日 15:00〜24:00
土日祝 12:00〜24:00
（food 23:00, drink23:30 L.o）
⁡
ーーーーーーーーーーーーーーーーーーーー
⁡
#uchubrewing
#warp 
#ビアスタンドモルト梅田
#贅沢コロッケ
#爽快ラガー
#コロッケとビールの相性96パーセント
#クラフトビール
#コロッケ
#ビールテイクアウト
#地ビール
#立ち飲み
#昼飲み
#阪急三番街
#ビール好きな人と繋がりたい
#1人飲み
#ビール女子
#梅田立ち飲み
#梅田立ち飲み昼飲み
#阪急立ち飲み
#梅田ビールテイクアウト
#梅田ビール
#大阪クラフトビール
#大阪立ち飲み
#梅田昼飲み
#梅田グルメ
#阪急三番街グルメ"
flesh_4_lulu,2023/06/28 21:43,フィード,19,0,"家族で串カツ鳥の巣に行ったあと

久しぶりのインディアンカリー

甘っ！　辛っ！　うまっ！
.
.
#インディアンカレー #阪急三番街"
fit_h.h,2023/06/28 21:24,フィード,17,0,"🐆
.
『祭太鼓』🪘
.
祭太鼓デビューしてきました🤤
気になったものを食べようということで、タルタルソースのシングルを注文したよ😗✌🏼✌🏼

お米に乗せて食べるのか、乗せずに食べるのかどっちが正しかったのかは未だにわかりませんが次は乗せようと思います🦦🎺
--------------
📍 大阪府大阪市北区芝田1-1-3 阪急三番街 北館 B2F
🚃 梅田駅
🚶‍♂️約3分
#関西 #大阪 #大阪グルメ #ランチ #ディナー #スイーツ #デザート #カフェ #どんぶり #カツ丼 #親子丼 #祭太鼓 #阪急三番街 #梅田グルメ #梅田ランチ"
rihimo_2,2023/06/28 19:36,フィード,98,0,"つけめん TETSU 阪急三番街店
5・6月限定  鶏つけめん 白⁡
⁡⁡
⁡暑いですね💦⁡
なかなか本調子にならないのは暑さのせいかも🥺⁡
⁡久しぶりにTETSUさんでつけめん💞⁡
⁡限定あるやん😆⁡
⁡はい❣️美味しぃぃぃぃいー❣️🤩🤩🤩⁡
⁡細麺、ムチムチ食感😋⁡
⁡つけ汁、ノーマルで頂きました😋⁡
⁡ほんのり生姜が香って美味しい︎💕︎
暑いから⁡辛い方にしたら良かった😅⁡
⁡カツオ出汁のスープ割り、ウマー❣️⁡
⁡今日も完飲完食😋 ⁡
⁡また伺います！ ⁡
⁡ごちそうさまでした🥰🥰🥰🥰🥰⁡
⁡⁡
⁡#麺活 #ラーメン #デブ活 #ソロ活 #2023年125杯目⁡
⁡#ラーメン大好き #らーめん大好き⁡
⁡#ラーメン女子 #ラーメンBBA #社畜BBA #夜勤前ラーメン⁡
⁡#大阪ラーメン⁡
⁡#阪急三番街⁡
⁡#つけめんTETSU阪急三番街店⁡
⁡#鶏つけめん #限定麺⁡
⁡#麺リフト⁡
⁡#スープ割り美味しい"
arinkoslife,2023/06/28 19:22,フィード,23,0,"大阪梅田の阪急三番街フードホールにある、名古屋名物 みそかつ矢場とん で会社の同僚とランチ♪美味しかったけど、、やっぱ物価の上昇を感じる😥
#矢場とん #みそかつ矢場とん #味噌カツ #名古屋名物 #阪急三番街グルメ #阪急三番街 #フードホール #大阪市北区 #梅田ランチ #大阪ランチ #梅田グルメ #梅田ランチ #ひとりごはん #カウンターあり"
lisa_pinohika,2023/06/28 19:05,フィード,27,0,#お昼ごはん #鯖定食 #梅田食堂 #阪急三番街 #lunch #grilledmackrel #lunchset #osaka
